dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.302807,3.567905,1.639305,6.096307,15.364194,20.708753,6.238250
0.010000,2.365262,3.565048,1.701825,6.252029,15.572172,20.797804,6.236705
0.010000,2.429289,3.562019,1.765924,6.409838,15.780948,20.877590,6.235134
0.010000,2.494908,3.558811,1.831621,6.569743,15.990516,20.956825,6.233538
0.010000,2.562139,3.555416,1.898939,6.731750,16.200706,21.019007,6.231917
0.010000,2.631005,3.551825,1.967897,6.895869,16.411848,21.114145,6.230271
0.010000,2.701524,3.548031,2.038519,7.062109,16.624026,21.217806,6.228601
0.010000,2.773717,3.544025,2.110823,7.230476,16.836664,21.263778,6.226909
0.010000,2.847606,3.539799,2.184833,7.400982,17.050585,21.392107,6.225194
0.010000,2.923212,3.535344,2.260569,7.573633,17.265133,21.454836,6.223457
0.010000,3.000554,3.530650,2.338054,7.748441,17.480783,21.564976,6.221699
0.010000,3.079654,3.525710,2.417308,7.925414,17.697311,21.652851,6.219921
0.010000,3.160533,3.520513,2.498354,8.104562,17.914844,21.753266,6.218124
0.010000,3.243211,3.515051,2.581213,8.285897,18.133423,21.857952,6.216308
0.010000,3.327711,3.509313,2.665907,8.469426,18.352906,21.948233,6.214476
0.010000,3.414053,3.503291,2.752458,8.655160,18.573469,22.056353,6.212626
0.010000,3.502258,3.496974,2.840890,8.843111,18.795109,22.164003,6.210762
0.010000,3.592348,3.490353,2.931222,9.033290,19.017809,22.269932,6.208883
0.010000,3.684344,3.483417,3.023480,9.225707,19.241706,22.389730,6.206992
0.010000,3.778268,3.476157,3.117683,9.420372,19.466538,22.483203,6.205089
0.010000,3.874140,3.468562,3.213856,9.617298,19.692644,22.610627,6.203175
0.010000,3.971964,3.460623,3.312002,9.814572,19.727367,3.472319,6.201253
0.010000,4.071723,3.452334,3.412105,10.010273,19.570130,-15.723758,6.199325
0.010000,4.173400,3.443688,3.514149,10.204405,19.413169,-15.696040,6.197392
0.010000,4.276979,3.434679,3.618118,10.396968,19.256317,-15.685272,6.195456
0.010000,4.382442,3.425300,3.723998,10.587965,19.099696,-15.662073,6.193521
0.010000,4.489774,3.415545,3.831772,10.777397,18.943182,-15.651410,6.191588
0.010000,4.598957,3.405410,3.941425,10.965265,18.786768,-15.641433,6.189660
0.010000,4.709975,3.394888,4.052940,11.151569,18.630443,-15.632444,6.187737
0.010000,4.822812,3.383976,4.166304,11.336311,18.474177,-15.626571,6.185824
0.010000,4.937451,3.372669,4.281498,11.519490,18.317936,-15.624124,6.183922
0.010000,5.053875,3.360962,4.398509,11.701107,18.161699,-15.623734,6.182032
0.010000,5.172068,3.348853,4.517321,11.881162,18.005440,-15.625860,6.180158
0.010000,5.292013,3.336339,4.637918,12.059653,17.849136,-15.630416,6.178301
0.010000,5.413695,3.323416,4.760283,12.236580,17.692729,-15.640706,6.176464
0.010000,5.537096,3.310082,4.884403,12.411943,17.536283,-15.644637,6.174649
0.010000,5.662200,3.296336,5.010260,12.585740,17.379680,-15.660245,6.172857
0.010000,5.788992,3.282177,5.137840,12.757969,17.222931,-15.674926,6.171092
0.010000,5.917454,3.267603,5.267126,12.928630,17.066033,-15.689781,6.169355
0.010000,6.047571,3.252615,5.398103,13.097719,16.908971,-15.706176,6.167649
0.010000,6.179326,3.237212,5.530756,13.265235,16.751617,-15.735445,6.165975
0.010000,6.312703,3.221395,5.665068,13.431177,16.594171,-15.744621,6.164336
0.010000,6.447686,3.205166,5.801023,13.595541,16.436364,-15.780697,6.162734
0.010000,6.584260,3.188527,5.938606,13.758324,16.278329,-15.803521,6.161171
0.010000,6.722407,3.171479,6.077801,13.919524,16.120013,-15.831558,6.159648
0.010000,6.862113,3.154026,6.218593,14.079138,15.961418,-15.859540,6.158169
0.010000,7.003360,3.136172,6.360964,14.237164,15.802540,-15.887751,6.156735
0.010000,7.146134,3.117920,6.504900,14.393596,15.643196,-15.934359,6.155348
